"LBXPFUA.Code.or.Value","LBXPFUA.Value.Description","LBXPFUA.Count","LBXPFUA.Cumulative","LBXPFUA.Skip.to.Item"
"0.14 to 13.6","Range of Values",2120,2120,NA
".","Missing",203,2323,NA
