"URXCRS.Code.or.Value","URXCRS.Value.Description","URXCRS.Count","URXCRS.Cumulative","URXCRS.Skip.to.Item"
"442 to 58255.6","Range of Values",8052,8052,NA
".","Missing",239,8291,NA
