"DR1TSELE.Code.or.Value","DR1TSELE.Value.Description","DR1TSELE.Count","DR1TSELE.Cumulative","DR1TSELE.Skip.to.Item"
"0 to 797.6","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
