"DXXLLBMD.Code.or.Value","DXXLLBMD.Value.Description","DXXLLBMD.Count","DXXLLBMD.Cumulative","DXXLLBMD.Skip.to.Item"
"0.516 to 2.236","Range of Values",4658,4658,NA
".","Missing",1034,5692,NA
