"TBQ060.Code.or.Value","TBQ060.Value.Description","TBQ060.Count","TBQ060.Cumulative","TBQ060.Skip.to.Item"
"1","Yes",294,294,NA
"2","No",9139,9433,NA
"7","Refused",1,9434,NA
"9","Don't know",54,9488,NA
".","Missing",5,9493,NA
