"DR2TNIAC.Code.or.Value","DR2TNIAC.Value.Description","DR2TNIAC.Count","DR2TNIAC.Cumulative","DR2TNIAC.Skip.to.Item"
"0 to 219.635","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
