"DRXIS040.Code.or.Value","DRXIS040.Value.Description","DRXIS040.Count","DRXIS040.Cumulative","DRXIS040.Skip.to.Item"
"0 to 6.368","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
