"OSQ010c.Code.or.Value","OSQ010c.Value.Description","OSQ010c.Count","OSQ010c.Cumulative","OSQ010c.Skip.to.Item"
"1","Yes",127,127,"OSQ020c"
"2","No",4844,4971,"OSQ025"
"7","Refused",0,4971,"OSQ025"
"9","Don't know",8,4979,"OSQ025"
".","Missing",0,4979,""
