"FFQ0065A.Code.or.Value","FFQ0065A.Value.Description","FFQ0065A.Count","FFQ0065A.Cumulative","FFQ0065A.Skip.to.Item"
1,"Almost never or never",888,888,NA
2,"About 1/4 of the time",804,1692,NA
3,"About 1/2 of the time",1119,2811,NA
4,"About 3/4 of the time",740,3551,NA
5,"Almost always or always",2480,6031,NA
88,"Blank",439,6470,NA
99,"Error",2,6472,NA
