"LBDBPBLC.Code.or.Value","LBDBPBLC.Value.Description","LBDBPBLC.Count","LBDBPBLC.Cumulative","LBDBPBLC.Skip.to.Item"
"0","At or above the detection limit",5215,5215,NA
"1","Below lower detection limit",0,5215,NA
".","Missing",717,5932,NA
