"LBD178LC.Code.or.Value","LBD178LC.Value.Description","LBD178LC.Count","LBD178LC.Cumulative","LBD178LC.Skip.to.Item"
"0","At or above the detection limit",187,187,NA
"1","Below lower detection limit",60,247,NA
".","Missing",0,247,NA
