"URDOP5LC.Code.or.Value","URDOP5LC.Value.Description","URDOP5LC.Count","URDOP5LC.Cumulative","URDOP5LC.Skip.to.Item"
"0","At or above the detection limit",1577,1577,NA
"1","Below lower detection limit",1429,3006,NA
".","Missing",199,3205,NA
