"RFXC092.Code.or.Value","RFXC092.Value.Description","RFXC092.Count","RFXC092.Cumulative","RFXC092.Skip.to.Item"
"-7.428 to 5.708","Range of Values",33693,33693,NA
".","Missing",28,33721,NA
