"PFQ051.Code.or.Value","PFQ051.Value.Description","PFQ051.Count","PFQ051.Cumulative","PFQ051.Skip.to.Item"
"1","Yes",1296,1296,NA
"2","No",4637,5933,NA
"7","Refused",0,5933,NA
"9","Don't know",2,5935,NA
".","Missing",3731,9666,NA
