"URDDEELC.Code.or.Value","URDDEELC.Value.Description","URDDEELC.Count","URDDEELC.Cumulative","URDDEELC.Skip.to.Item"
"0","detectable result",367,367,NA
"1","below detectable limit",1610,1977,NA
".","Missing",148,2125,NA
