"LBXGLT.Code.or.Value","LBXGLT.Value.Description","LBXGLT.Count","LBXGLT.Cumulative","LBXGLT.Skip.to.Item"
"40 to 604","Range of Values",2345,2345,NA
".","Missing",564,2909,NA
