"SPXBFET.Code.or.Value","SPXBFET.Value.Description","SPXBFET.Count","SPXBFET.Cumulative","SPXBFET.Skip.to.Item"
"3.1 to 24.7","Range of Values",496,496,NA
".","Missing",7699,8195,NA
