"DR2IM221.Code.or.Value","DR2IM221.Value.Description","DR2IM221.Count","DR2IM221.Cumulative","DR2IM221.Skip.to.Item"
"0 to 3.053","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
