"SPXBPEF.Code.or.Value","SPXBPEF.Value.Description","SPXBPEF.Count","SPXBPEF.Cumulative","SPXBPEF.Skip.to.Item"
"1496 to 14015","Range of Values",611,611,NA
".","Missing",7132,7743,NA
