"BIXC500K.Code.or.Value","BIXC500K.Value.Description","BIXC500K.Count","BIXC500K.Cumulative","BIXC500K.Skip.to.Item"
"9.66 to 980.65","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
