"LBXVST.Code.or.Value","LBXVST.Value.Description","LBXVST.Count","LBXVST.Cumulative","LBXVST.Skip.to.Item"
"0.0212 to 0.39","Range of Values",1245,1245,NA
".","Missing",244,1489,NA
