"SXQ200.Code.or.Value","SXQ200.Value.Description","SXQ200.Count","SXQ200.Cumulative","SXQ200.Skip.to.Item"
"0 to 600","Range of Values",1391,1391,NA
"77777","Refused",4,1395,NA
"99999","Don't know",1,1396,NA
".","Missing",2003,3399,NA
