"RDQ050.Code.or.Value","RDQ050.Value.Description","RDQ050.Count","RDQ050.Cumulative","RDQ050.Skip.to.Item"
"1","Yes",409,409,""
"2","No",3722,4131,"RDQ070"
"7","Refused",0,4131,"RDQ070"
"9","Don't know",2,4133,"RDQ070"
".","Missing",5976,10109,""
