"URDUURLC.Code.or.Value","URDUURLC.Value.Description","URDUURLC.Count","URDUURLC.Cumulative","URDUURLC.Skip.to.Item"
"0","At or above the detection limit",1795,1795,NA
"1","Below lower detection limit",762,2557,NA
".","Missing",116,2673,NA
