"PAXDAYH.Code.or.Value","PAXDAYH.Value.Description","PAXDAYH.Count","PAXDAYH.Cumulative","PAXDAYH.Skip.to.Item"
"1","1st day of wear",61301,61301,NA
"2","2nd day of wear",165538,226839,NA
"3","3rd day of wear",164879,391718,NA
"4","4th day of wear",164101,555819,NA
"5","5th day of wear",163152,718971,NA
"6","6th day of wear",162126,881097,NA
"7","7th day of wear",161043,1042140,NA
"8","8th day of wear",159517,1201657,NA
"9","9th day of wear",106337,1307994,NA
"< blank >","Missing",0,1307994,NA
