"SSTOXO.Code.or.Value","SSTOXO.Value.Description","SSTOXO.Count","SSTOXO.Cumulative","SSTOXO.Skip.to.Item"
"0 to 332","Range of Values",6670,6670,NA
".","Missing",9,6679,NA
