"DS2TVB1.Code.or.Value","DS2TVB1.Value.Description","DS2TVB1.Count","DS2TVB1.Cumulative","DS2TVB1.Skip.to.Item"
"0.013 to 600","Range of Values",1071,1071,NA
".","Missing",8473,9544,NA
