"DID310D.Code.or.Value","DID310D.Value.Description","DID310D.Count","DID310D.Cumulative","DID310D.Skip.to.Item"
"5 to 120","Range of Values",205,205,NA
"6666","Provider did not specify goal",390,595,NA
"7777","Refused",1,596,NA
"9999","Don't know",136,732,NA
".","Missing",9038,9770,NA
