"LBC199LA.Code.or.Value","LBC199LA.Value.Description","LBC199LA.Count","LBC199LA.Cumulative","LBC199LA.Skip.to.Item"
"0.1 to 35.9","Range of Values",264,264,NA
".","Missing",0,264,NA
