"WTSBA36.Code.or.Value","WTSBA36.Value.Description","WTSBA36.Count","WTSBA36.Cumulative","WTSBA36.Skip.to.Item"
"0 to 366816.18197","Range of Values",946,946,NA
".","Missing",65,1011,NA
