"SPXNFET.Code.or.Value","SPXNFET.Value.Description","SPXNFET.Count","SPXNFET.Cumulative","SPXNFET.Skip.to.Item"
"1.1 to 27.4","Range of Values",7079,7079,NA
".","Missing",1116,8195,NA
