"URD1TBLC.Code.or.Value","URD1TBLC.Value.Description","URD1TBLC.Count","URD1TBLC.Cumulative","URD1TBLC.Skip.to.Item"
"0","At or above the detection limit",763,763,NA
"1","Below lower detection limit",1841,2604,NA
".","Missing",114,2718,NA
