"URDMSMLC.Code.or.Value","URDMSMLC.Value.Description","URDMSMLC.Count","URDMSMLC.Cumulative","URDMSMLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2634,2634,NA
".","Missing",122,2756,NA
