"WTSPO4YR.Code.or.Value","WTSPO4YR.Value.Description","WTSPO4YR.Count","WTSPO4YR.Cumulative","WTSPO4YR.Skip.to.Item"
"0 to 332972.39067","Range of Values",2547,2547,NA
".","Missing",0,2547,NA
