"URXDIZ.Code.or.Value","URXDIZ.Value.Description","URXDIZ.Count","URXDIZ.Cumulative","URXDIZ.Skip.to.Item"
"0.07 to 31.33","Range of Values",1842,1842,NA
".","Missing",283,2125,NA
