"URDUCOLC.Code.or.Value","URDUCOLC.Value.Description","URDUCOLC.Count","URDUCOLC.Cumulative","URDUCOLC.Skip.to.Item"
"0","At or above the detection limit",3058,3058,NA
"1","Below lower detection limit",3,3061,NA
".","Missing",218,3279,NA
