"LBXF08LA.Code.or.Value","LBXF08LA.Value.Description","LBXF08LA.Count","LBXF08LA.Cumulative","LBXF08LA.Skip.to.Item"
"0.9 to 234","Range of Values",1219,1219,NA
".","Missing",1328,2547,NA
