"LBXVCB.Code.or.Value","LBXVCB.Value.Description","LBXVCB.Count","LBXVCB.Cumulative","LBXVCB.Skip.to.Item"
"0.0078 to 0.021","Range of Values",3188,3188,NA
".","Missing",259,3447,NA
