"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"14 to 2566","Range of Values",6431,6431,NA
".","Missing",549,6980,NA
