"PFD069K.Code.or.Value","PFD069K.Value.Description","PFD069K.Count","PFD069K.Cumulative","PFD069K.Skip.to.Item"
"21 to 28105","Range of Values",165,165,NA
"66666","Since birth",3,168,NA
"77777","Refused",0,168,NA
"99999","Don't know",5,173,NA
".","Missing",10297,10470,NA
