"VIQ240.Code.or.Value","VIQ240.Value.Description","VIQ240.Count","VIQ240.Cumulative","VIQ240.Skip.to.Item"
"1","Glasses",2010,2010,""
"2","Contacts",350,2360,"VIXOCMT"
"3","Both glasses and contact lenses",53,2413,""
".","Missing",4577,6990,""
