"URDHIBLC.Code.or.Value","URDHIBLC.Value.Description","URDHIBLC.Count","URDHIBLC.Cumulative","URDHIBLC.Skip.to.Item"
"0","At or above the detection limit",2863,2863,NA
"1","Below lower detection limit",112,2975,NA
".","Missing",230,3205,NA
