"ECD070B.Code.or.Value","ECD070B.Value.Description","ECD070B.Count","ECD070B.Cumulative","ECD070B.Skip.to.Item"
"0 to 15","Range of Values",4181,4181,NA
"7777","Refused",0,4181,NA
"9999","Don't know",82,4263,NA
".","Missing",142,4405,NA
