"DR2IVB12.Code.or.Value","DR2IVB12.Value.Description","DR2IVB12.Count","DR2IVB12.Cumulative","DR2IVB12.Skip.to.Item"
"0 to 223.27","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
