"PFQ061I.Code.or.Value","PFQ061I.Value.Description","PFQ061I.Count","PFQ061I.Cumulative","PFQ061I.Skip.to.Item"
"1","No difficulty",1796,1796,NA
"2","Some difficulty",499,2295,NA
"3","Much difficulty",165,2460,NA
"4","Unable to do",98,2558,NA
"5","Do not do this activity",10,2568,NA
"7","Refused",0,2568,NA
"9","Don't know",0,2568,NA
".","Missing",7077,9645,NA
