"LBDTRSI.Code.or.Value","LBDTRSI.Value.Description","LBDTRSI.Count","LBDTRSI.Cumulative","LBDTRSI.Skip.to.Item"
"0.158 to 24.172","Range of Values",2723,2723,NA
".","Missing",468,3191,NA
