"DS1IVB12.Code.or.Value","DS1IVB12.Value.Description","DS1IVB12.Count","DS1IVB12.Cumulative","DS1IVB12.Skip.to.Item"
"0.3 to 60000","Range of Values",1784,1784,NA
".","Missing",4174,5958,NA
