"LBXD02LA.Code.or.Value","LBXD02LA.Value.Description","LBXD02LA.Count","LBXD02LA.Cumulative","LBXD02LA.Skip.to.Item"
"0.9 to 61.5","Range of Values",1239,1239,NA
".","Missing",1308,2547,NA
