"DR2TALCO.Code.or.Value","DR2TALCO.Value.Description","DR2TALCO.Count","DR2TALCO.Cumulative","DR2TALCO.Skip.to.Item"
"0 to 379.1","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
