"DR2IFDFE.Code.or.Value","DR2IFDFE.Value.Description","DR2IFDFE.Count","DR2IFDFE.Cumulative","DR2IFDFE.Skip.to.Item"
"0 to 5398","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
