"VTQ281E.Code.or.Value","VTQ281E.Value.Description","VTQ281E.Count","VTQ281E.Cumulative","VTQ281E.Skip.to.Item"
"1","Yes",206,206,""
"2","No",2891,3097,"End of Section"
"7","Refused",0,3097,"End of Section"
"9","Don't know",2,3099,"End of Section"
".","Missing",390,3489,""
