"URXUPT.Code.or.Value","URXUPT.Value.Description","URXUPT.Count","URXUPT.Cumulative","URXUPT.Skip.to.Item"
"0.006 to 697","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
