"DSQTCAFF.Code.or.Value","DSQTCAFF.Value.Description","DSQTCAFF.Count","DSQTCAFF.Cumulative","DSQTCAFF.Skip.to.Item"
"3 to 280","Range of Values",16,16,NA
".","Missing",9740,9756,NA
