"DSD122Q.Code.or.Value","DSD122Q.Value.Description","DSD122Q.Count","DSD122Q.Cumulative","DSD122Q.Skip.to.Item"
"0.03 to 90","Range of Values",9455,9455,NA
"777777","Refused",0,9455,NA
"999999","Don't know",9,9464,NA
".","Missing",95,9559,NA
