"ENXTR2G.Code.or.Value","ENXTR2G.Value.Description","ENXTR2G.Count","ENXTR2G.Cumulative","ENXTR2G.Skip.to.Item"
"1","Acceptable measurement",6533,6533,NA
"2","Could Not Obtain",48,6581,NA
"3","< 5 ppb",593,7174,NA
"4","> 300 ppb",0,7174,NA
".","Missing",1021,8195,NA
