"DIQ240.Code.or.Value","DIQ240.Value.Description","DIQ240.Count","DIQ240.Cumulative","DIQ240.Skip.to.Item"
"1","Yes",584,584,""
"2","No",155,739,"DID260"
"7","Refused",0,739,"DID260"
"9","Don't know",0,739,"DID260"
".","Missing",9370,10109,""
