"BPQ060.Code.or.Value","BPQ060.Value.Description","BPQ060.Count","BPQ060.Cumulative","BPQ060.Skip.to.Item"
"1","Yes",3607,3607,""
"2","No",1578,5185,"BPD110a"
"7","Refused",2,5187,"BPD110a"
"9","Don't know",223,5410,"BPD110a"
".","Missing",1224,6634,""
