"DRD370O.Code.or.Value","DRD370O.Value.Description","DRD370O.Count","DRD370O.Cumulative","DRD370O.Skip.to.Item"
"1","Yes",87,87,""
"2","No",5034,5121,"DRD370P"
".","Missing",4692,9813,""
