"CIQD051.Code.or.Value","CIQD051.Value.Description","CIQD051.Count","CIQD051.Cumulative","CIQD051.Skip.to.Item"
"0 to 52","Range of Values",105,105,NA
"77","Refuse",0,105,NA
"99","Don't know",3,108,NA
".","Missing",670,778,NA
