"URDUBALC.Code.or.Value","URDUBALC.Value.Description","URDUBALC.Count","URDUBALC.Cumulative","URDUBALC.Skip.to.Item"
"0","At or above the detection limit",2374,2374,NA
"1","Below lower detection limit",184,2558,NA
".","Missing",115,2673,NA
