"LBXTC2LA.Code.or.Value","LBXTC2LA.Value.Description","LBXTC2LA.Count","LBXTC2LA.Cumulative","LBXTC2LA.Skip.to.Item"
"5.6 to 113","Range of Values",1883,1883,NA
".","Missing",391,2274,NA
