"DR1TNIAC.Code.or.Value","DR1TNIAC.Value.Description","DR1TNIAC.Count","DR1TNIAC.Cumulative","DR1TNIAC.Skip.to.Item"
"0 to 141.18","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
