"DR2IPOTA.Code.or.Value","DR2IPOTA.Value.Description","DR2IPOTA.Count","DR2IPOTA.Cumulative","DR2IPOTA.Skip.to.Item"
"0 to 6072","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
