"MCQ240x.Code.or.Value","MCQ240x.Value.Description","MCQ240x.Count","MCQ240x.Cumulative","MCQ240x.Skip.to.Item"
"18 to 79","Range of Values",52,52,NA
"80","80 years or older",5,57,NA
"77777","Refused",0,57,NA
"99999","Don't know",0,57,NA
".","Missing",9713,9770,NA
